tf,dc,adx,struct,shorts,stop,rr,ret,pf,n,win,dd
1h,10,25.0,False,True,2.0,2.0,-0.2102666340815469,0.7654845236102542,147,0.29931972789115646,-0.29988558707920765
1h,10,25.0,False,True,2.0,3.0,-0.13237018117194732,0.8418919610651268,111,0.23423423423423423,-0.22127115106955653
1h,10,25.0,False,True,3.0,1.0,-0.17504746236523228,0.744752542392011,140,0.45,-0.20722771346751157
1h,10,25.0,False,True,3.0,1.5,-0.10983172087893878,0.835641958224183,114,0.37719298245614036,-0.19391245136677004
1h,10,25.0,False,True,3.0,2.0,-0.10295292866144878,0.833474418695757,94,0.30851063829787234,-0.20703236540743963
1h,10,25.0,False,True,3.0,3.0,-0.17752745488072774,0.6663395418984158,72,0.19444444444444445,-0.22254209510966982
1h,10,25.0,False,False,1.5,1.0,-0.22386510540743831,0.6120901766782467,109,0.42201834862385323,-0.23826435197931806
1h,10,25.0,False,False,1.5,1.5,-0.23793108392591034,0.5997906943467491,95,0.3157894736842105,-0.24878961061668492
1h,10,25.0,False,False,1.5,2.0,-0.21025250574471344,0.6493551553086718,88,0.2727272727272727,-0.22527619949206157
1h,10,25.0,False,False,1.5,3.0,-0.20097067531618995,0.6641678027188194,80,0.2,-0.22370421593721213
1h,10,25.0,False,False,2.0,1.0,-0.19842207583803173,0.6101918153090629,93,0.40860215053763443,-0.20583492271170556
1h,10,25.0,False,False,2.0,1.5,-0.25502346858256886,0.536335496128125,87,0.28735632183908044,-0.26545658924044946
1h,10,25.0,False,False,2.0,2.0,-0.24867952057441634,0.5496599063509504,81,0.2345679012345679,-0.2626820147849235
1h,10,25.0,False,False,2.0,3.0,-0.2806991372784874,0.46987800941711383,69,0.14492753623188406,-0.2806991372784874
1h,10,25.0,False,False,3.0,1.0,-0.20374040647154312,0.5556067750247513,82,0.3780487804878049,-0.21112820875574423
1h,10,25.0,False,False,3.0,1.5,-0.17429549330145788,0.6124731096321979,69,0.30434782608695654,-0.1777671834892126
1h,10,25.0,False,False,3.0,2.0,-0.18305554831010928,0.5686883896757138,60,0.23333333333333334,-0.19045936713881284
1h,10,25.0,False,False,3.0,3.0,-0.16739062112626146,0.6100766609779439,56,0.17857142857142858,-0.16739062112626146
1h,20,0.0,True,True,1.5,1.0,-0.28347948722546046,0.5323661659814048,111,0.38738738738738737,-0.28347948722546046
